source_pdf,output_txt,pages,characters,status
Basel/201712-standards-basel-iii-finalising-post-crisis-reforms.pdf,Basel/201712-standards-basel-iii-finalising-post-crisis-reforms.txt,162,535392,ok
IRDA/Addendum - Guidelines for Corporate Governance for Insurers in India.pdf,IRDA/Addendum - Guidelines for Corporate Governance for Insurers in India.txt,1,1971,ok
IRDA/GUIDELINES FOR INTENSIVE EXAMINATION OF PUBLIC PROCUREMENT CONTRACTS BY.pdf,IRDA/GUIDELINES FOR INTENSIVE EXAMINATION OF PUBLIC PROCUREMENT CONTRACTS BY.txt,10,17112,ok
IRDA/Guidelines for Corporate Governance for insurers in India.pdf,IRDA/Guidelines for Corporate Governance for insurers in India.txt,67,134077,ok
IRDA/Guidelines on Appointment of Insurance Agents 2015 –Instructions to Insurer.pdf,IRDA/Guidelines on Appointment of Insurance Agents 2015 –Instructions to Insurer.txt,3,5536,ok
IRDA/Guidelines on Cross Border Re-insurers.pdf,IRDA/Guidelines on Cross Border Re-insurers.txt,15,14814,ok
IRDA/Guidelines on Establishment and Closure of Liaison Office.pdf,IRDA/Guidelines on Establishment and Closure of Liaison Office.txt,16,181,ok
IRDA/Guidelines on Indian Owned and Controlled for Insurance Intermediaries.pdf,IRDA/Guidelines on Indian Owned and Controlled for Insurance Intermediaries.txt,2,3103,ok
IRDA/Guidelines on Indian owned and controlled (1).pdf,IRDA/Guidelines on Indian owned and controlled (1).txt,5,7980,ok
IRDA/Guidelines on Indian owned and controlled.pdf,IRDA/Guidelines on Indian owned and controlled.txt,5,7980,ok
IRDA/Guidelines on Investment in Exchange Traded Funds with G Sec Underlying (GI.pdf,IRDA/Guidelines on Investment in Exchange Traded Funds with G Sec Underlying (GI.txt,2,2497,ok
IRDA/Guidelines on Migration and Portability of health insurance policies.pdf,IRDA/Guidelines on Migration and Portability of health insurance policies.txt,3,5173,ok
IRDA/Guidelines on Motor Insurance Service Provider.pdf,IRDA/Guidelines on Motor Insurance Service Provider.txt,14,30535,ok
IRDA/Guidelines on Point of Sales (POS) –Life Insurance Products.pdf,IRDA/Guidelines on Point of Sales (POS) –Life Insurance Products.txt,8,9733,ok
IRDA/Guidelines on Point of Sales Person - Non-Life & Health Insurers.pdf,IRDA/Guidelines on Point of Sales Person - Non-Life & Health Insurers.txt,4,7300,ok
IRDA/Guidelines on Product Filing in Health Insurance Business.pdf,IRDA/Guidelines on Product Filing in Health Insurance Business.txt,110,168180,ok
IRDA/Guidelines on Remuneration of Non-executive Directors and Managing Director.pdf,IRDA/Guidelines on Remuneration of Non-executive Directors and Managing Director.txt,11,16723,ok
IRDA/Guidelines on Standard Individual Health Insurance Product.pdf,IRDA/Guidelines on Standard Individual Health Insurance Product.txt,1,196,ok
IRDA/Guidelines on Stewardship Code for Insurers in India.pdf,IRDA/Guidelines on Stewardship Code for Insurers in India.txt,2,2858,ok
IRDA/Guidelines on Telemedicine.pdf,IRDA/Guidelines on Telemedicine.txt,1,1255,ok
IRDA/Guidelines on Wellness and Preventive Features.pdf,IRDA/Guidelines on Wellness and Preventive Features.txt,4,8856,ok
IRDA/Guidelines on filing of Re-insurance arrangements with the IRDAI.pdf,IRDA/Guidelines on filing of Re-insurance arrangements with the IRDAI.txt,1,2900,ok
IRDA/Guidelines on operational issues pertaining to Regulatory Sandbox.pdf,IRDA/Guidelines on operational issues pertaining to Regulatory Sandbox.txt,6,13268,ok
IRDA/Guidelines on repatriation of dividends by insurance intermediaries having.pdf,IRDA/Guidelines on repatriation of dividends by insurance intermediaries having.txt,3,7307,ok
IRDA/Guidelines on settlement of Life Insurance Claims to the victims of Flood 2021-08-06.pdf,IRDA/Guidelines on settlement of Life Insurance Claims to the victims of Flood 2021-08-06.txt,2,20,ok
IRDA/IRDAI (Investment by Private Equity Funds in Indian Insurance Companies).pdf,IRDA/IRDAI (Investment by Private Equity Funds in Indian Insurance Companies).txt,12,18271,ok
"IRDA/IRDAI (Listed Indian Insurance Companies) Guidelines, 2016.pdf","IRDA/IRDAI (Listed Indian Insurance Companies) Guidelines, 2016.txt",23,35346,ok
IRDA/Instructions for obtaining Certificate of Registration under IRDAI.pdf,IRDA/Instructions for obtaining Certificate of Registration under IRDAI.txt,4,7985,ok
IRDA/Insurance Regulatory and Development Authority of India (Registration and O.pdf,IRDA/Insurance Regulatory and Development Authority of India (Registration and O.txt,2,3400,ok
IRDA/Master Guidelines on Anti-Money Laundering 2022.pdf,IRDA/Master Guidelines on Anti-Money Laundering 2022.txt,32,62536,ok
IRDA/Modification guidelines on standardization in health insurance.pdf,IRDA/Modification guidelines on standardization in health insurance.txt,1,1734,ok
IRDA/Modified guidelines on Standardization in Health Insurance Business.pdf,IRDA/Modified guidelines on Standardization in Health Insurance Business.txt,3,5278,ok
IRDA/PREPRATATION OF INVESTMENT RETURNS.pdf,IRDA/PREPRATATION OF INVESTMENT RETURNS.txt,31,48624,ok
IRDA/Revised Guidelines on Insurance Repositories and electronic issuance of.pdf,IRDA/Revised Guidelines on Insurance Repositories and electronic issuance of.txt,39,83221,ok
"IRDA/आईआरडीएआई बीमा वाहक दिशानिर्देश, 2023 _ IRDAI Bima Vahak Guidelines, 2023.pdf","IRDA/आईआरडीएआई बीमा वाहक दिशानिर्देश, 2023 _ IRDAI Bima Vahak Guidelines, 2023.txt",7,17447,ok
IRDA/ईक्विटी व्युत्पन्नियों (डेरिवेटिव्स) के द्वार~्यवस्था संबंधी दिशानिर्देश _ Guidelines on Hedging Through Equity Derivatives.pdf,IRDA/ईक्विटी व्युत्पन्नियों (डेरिवेटिव्स) के द्वार~्यवस्था संबंधी दिशानिर्देश _ Guidelines on Hedging Through Equity Derivatives.txt,17,37300,ok
IRDA/बीमा कोषों (रिपोजिटरियों) और बीमा पालिसियों के ~र्देश के खंड 15(क) में संशोधन _ Amendment to Clause 15(a) of Revised Guidelines on In.pdf,IRDA/बीमा कोषों (रिपोजिटरियों) और बीमा पालिसियों के ~र्देश के खंड 15(क) में संशोधन _ Amendment to Clause 15(a) of Revised Guidelines on In.txt,2,2906,ok
IRDA/बीमाकर्ताओं के निदेशकों और प्रमुख प्रबंधकीय व~ंधी दिशानिर्देश _ Guidelines on Remuneration of Directors and Key Managerial Persons of Insurers.pdf,IRDA/बीमाकर्ताओं के निदेशकों और प्रमुख प्रबंधकीय व~ंधी दिशानिर्देश _ Guidelines on Remuneration of Directors and Key Managerial Persons of Insurers.txt,4,42,ok
IRDA/बीमाकर्ताओं के लिए सूचना और साइबर सुरक्षा संबंधी दिशानिर्देश _ Guidelines on Information and Cyber Security for insurers.pdf,IRDA/बीमाकर्ताओं के लिए सूचना और साइबर सुरक्षा संबंधी दिशानिर्देश _ Guidelines on Information and Cyber Security for insurers.txt,2,4044,ok
